Date,AAPL,AMZN,GOOGL,META,MSFT
2018-01-03,0.22474265284012,0.27667101138213335,0.25658837007736074,0.33374963613532005,0.24754936155383184
2018-01-04,0.21628653132218342,0.2681905413306693,0.26020555556802005,0.35005013936568735,0.23449323749849108
2018-01-05,0.20909430690651365,0.25096330934735644,0.25469406313329523,0.33370208939105583,0.22609305680140682
2018-01-08,0.20832239072567169,0.25545717129324347,0.2549074985654913,0.3388593520428617,0.22343978083762828
2018-01-09,0.20364258960431333,0.2547703604330654,0.25000221021832364,0.3310749796715307,0.21249062521435785
2018-01-10,0.1977069412387792,0.23994421736674812,0.24567383538992282,0.3215280653517587,0.20317298575126455
2018-01-11,0.19254897000964102,0.22663074237703731,0.24214270694039602,0.314916826673169,0.19738551187634087
2018-01-12,0.18883584719575594,0.2418036063829857,0.23868156442977814,0.310738221183575,0.18997038737793606
2018-01-16,0.18979889654520332,0.26714948060610794,0.2448211385278808,0.46923988336007016,0.2033415324351485
2018-01-17,0.18887060441069015,0.2494414226997796,0.2410162288057344,0.417056495017714,0.21254587972796724
2018-01-18,0.19980577182379505,0.24195240341025578,0.2392504690338181,0.3800614487219272,0.2282083416859346
2018-01-19,0.19414626266948143,0.22896394396865738,0.23667892657093656,0.365442475180635,0.21687701066261167
2018-01-22,0.19200139073595962,0.2176152956892294,0.2351517870738561,0.34910236399018507,0.2071422841699767
2018-01-23,0.19454249965095177,0.26159010579104136,0.24347814910269158,0.37373667657668236,0.2183086344359997
2018-01-24,0.18966838976697376,0.2958252295085648,0.24304871611002746,0.3849601949840654,0.20826041008243976
2018-01-25,0.20768614725971762,0.2753459291122615,0.2404308296042622,0.3749667769592689,0.19954214040603102
2018-01-26,0.22640022344515248,0.27179769169890583,0.23975377538868645,0.3517968276991133,0.19308432551454274
2018-01-29,0.21751883463490393,0.27484162758953307,0.23708562058390076,0.3495810179598569,0.20935190935197437
2018-01-30,0.24129888103904956,0.2638541442397452,0.23441387235251615,0.3721411285025242,0.20072255978452397
2018-01-31,0.2342629569047348,0.2608758457399525,0.23487207871127092,0.3509567576266702,0.20744083223190438
2018-02-01,0.2245239039919327,0.24939213585673273,0.2327493880661196,0.33411036222322293,0.23576804735476112
2018-02-02,0.21584624058571023,0.377453823685781,0.23061931032621788,0.40855541920158595,0.22903776626863595
2018-02-05,0.31974841523694786,0.38750409634260025,0.3274922329153405,0.3896917481725737,0.26683796101733026
2018-02-06,0.33311450216307825,0.40360416094598234,0.38635383247689786,0.5200104275475395,0.34720975227213535
2018-02-07,0.37468163114806713,0.43747574338609174,0.3759653044675133,0.48160414618484404,0.37915367204248057
2018-02-08,0.37186548011655296,0.41560183842075993,0.3766915827266842,0.4761623252657485,0.36890515097735377
2018-02-09,0.38170035469014885,0.49965494782667613,0.410272887477201,0.5649025525037734,0.4544653951564065
2018-02-12,0.3613322616503598,0.45273879317521853,0.41817342248090794,0.5230498435809006,0.4630042726054977
2018-02-13,0.39238020346833513,0.4632724146724836,0.39647947586873505,0.45332069741397374,0.430342246476736
2018-02-14,0.36941933574460895,0.43547418904960766,0.3758385722990083,0.428845198258119,0.39925854438215724
2018-02-15,0.35671432196576996,0.42474700630266926,0.36399956431049174,0.4756095053238905,0.3779341992892133
2018-02-16,0.3726156797154549,0.3855812010491485,0.35339052320844927,0.419653532654674,0.36569321129673155
2018-02-20,0.34997395151801247,0.3564920221028114,0.337256342875823,0.39674587285268126,0.3424533968686933
2018-02-21,0.32955559691679776,0.3348462308867294,0.32374235123490086,0.3694504370049883,0.32046290221771934
2018-02-22,0.3117467689473775,0.3116456177987973,0.31248649518798627,0.3556157516665077,0.30943710424067694
2018-02-23,0.29585528638033187,0.2866592413874022,0.3011075401652253,0.3400374215238232,0.28890320500765176
2018-02-26,0.2910813464631743,0.27157710397225954,0.2975910084014327,0.3739049692671494,0.30105992597141873
2018-02-27,0.29067154153368585,0.26789393300904707,0.29238419974066443,0.3555708248645365,0.2905671411583903
2018-02-28,0.27616947777499373,0.2553712603415098,0.30068718429269026,0.367731969064908,0.28297183049354696
2018-03-01,0.2624485303969175,0.23949992415410878,0.29541082061935175,0.3707738514904789,0.2671271850429535
2018-03-02,0.269772359044306,0.24482195373112564,0.31400797664274593,0.36252416711674357,0.2585118439175756
2018-03-05,0.2575215195245834,0.23165893821009909,0.3053681315146994,0.34274296834215967,0.24348957620740602
2018-03-06,0.24532969119575743,0.2392673734487494,0.29655415593454987,0.3662932143587651,0.23186380900072978
2018-03-07,0.23472234910907772,0.23207659380053175,0.28706047537889273,0.345181734619326,0.22140559418627936
2018-03-08,0.23237155203123616,0.22136028352561607,0.28247231434584535,0.3692541744704602,0.21219633466214138
2018-03-09,0.2278059421282826,0.21240092174507233,0.2785023521122062,0.35101570351304184,0.20439079786693332
2018-03-12,0.23292586464831735,0.23029056873655723,0.29294170630917976,0.35484576275862456,0.22744420429617027
2018-03-13,0.22702715973142587,0.23063158671522846,0.2835605586274344,0.3371373005784162,0.2160977432472983
2018-03-14,0.22626232862477394,0.2250093144001206,0.29249987714612274,0.3471989284700232,0.25125442622199556
2018-03-15,0.22408163847395296,0.21438547843978706,0.28430618398705154,0.34509190589107247,0.24033532785729111
2018-03-16,0.21547597533042367,0.21068218473664765,0.27557237095149256,0.3304465601748272,0.2277081672172117
2018-03-19,0.20974107668650663,0.20978827132839975,0.27546890788411904,0.3245066210323346,0.21696939368078852
2018-03-20,0.22206040975436417,0.23689344955061517,0.29972205157234344,0.6272998393853564,0.2333228538598714
2018-03-21,0.21396283950696823,0.28059687643802084,0.2899247627497177,0.5661184759419168,0.22130250525571882
2018-03-22,0.24401364780682044,0.2620305786533481,0.28074133029387793,0.4875346023752096,0.2155126050009982
2018-03-23,0.24791370422290984,0.29647411006796537,0.3188388651724329,0.4759660286213036,0.2670860742833212
2018-03-26,0.27126500671549125,0.3551779829735567,0.32625687496528166,0.49499058123032547,0.3034375105154599
2018-03-27,0.3481063719123367,0.4124693279659467,0.3310073139561397,0.43416652348204204,0.4884710998016808
2018-03-28,0.3578963856303931,0.4584792372732631,0.3739776667333047,0.5504795625160592,0.5237896950296184
2018-03-29,0.3424129005512697,0.5154419699198943,0.3557140208627658,0.47465958063089075,0.4823324350268298
2018-04-02,0.32310739540798505,0.4665954724461603,0.36276667938342155,0.5341690508389458,0.4576784749592571
2018-04-03,0.3073017105524011,0.5572911734566677,0.3612433308913407,0.5094501591123545,0.45770638032323674
2018-04-04,0.2932003971594282,0.5061892122144114,0.3447396533008832,0.44472269623186894,0.42763794766915625
2018-04-05,0.291423928144172,0.4609070579993493,0.3319170121490883,0.4008674353696487,0.4236471404408877
2018-04-06,0.2768649961671681,0.4535773901162572,0.3179321669679349,0.4214122310344107,0.3915547453937507
2018-04-09,0.3002259587604701,0.46715811183467354,0.32083392060587607,0.39571453932750567,0.3877528794595338
2018-04-10,0.28663199495342123,0.42016269088590685,0.3103250561985454,0.3654452831796198,0.3601041733308052
2018-04-11,0.2853236250099689,0.4021565034827168,0.3053134133127391,0.4819446881606433,0.35533592587609386
2018-04-12,0.27223192982599054,0.36766216095742343,0.2985742222429099,0.4277600356598418,0.3369196102522495
2018-04-13,0.2617365834252367,0.3465292701431442,0.29186653592984685,0.4027415168720792,0.327801672818894
2018-04-16,0.24908048435549263,0.32920523711796745,0.2823894443713036,0.36975735219629685,0.3074294921871139
2018-04-17,0.23877380084943703,0.30433073232762203,0.27635349347472055,0.34661686745557363,0.29274902386360624
2018-04-18,0.2368279254923654,0.3923675749923369,0.297850716920667,0.3748400235821998,0.2929425553248861
2018-04-19,0.22774693648183303,0.36860236208320557,0.2882106298552163,0.3657813737546436,0.2744461465178406
2018-04-20,0.2713520458059815,0.3550996315600127,0.2836440008736321,0.3526599174237344,0.25888202408119976
2018-04-23,0.34491657926847985,0.3512675202109041,0.27978327944548265,0.3457076520879587,0.25397229100020646
2018-04-24,0.324793341040373,0.3244277352710984,0.27216860298513096,0.331214503229883,0.23979676465622077
2018-04-25,0.31676657500990646,0.4007966878361704,0.33889339641014465,0.43433576804561197,0.2656046734636177
2018-04-26,0.29869454062998796,0.362930256210513,0.32407558520181673,0.3903442501975929,0.2557806091180654
2018-04-27,0.28224152421138193,0.41478899081742954,0.3208239478479281,0.7581378976374158,0.2645444617788101
2018-04-30,0.27650250564325685,0.43869100620190776,0.31240453229554505,0.6276829873801242,0.26263965430930336
2018-05-01,0.2755510558977831,0.3971944824128287,0.30588140696837124,0.5345031493033815,0.28479028442336746
2018-05-02,0.2839993866348259,0.36464740940634305,0.30732532793504375,0.4685899813935299,0.27859298630489765
2018-05-03,0.34597679401971726,0.3376015189097716,0.3028798972934641,0.42531303324351116,0.27784880060968176
2018-05-04,0.32480822868742737,0.3087041158846297,0.2920071614444075,0.39484606599387606,0.2619326552303041
2018-05-07,0.36137122655036713,0.2856133815445451,0.2985249528380173,0.38027347959203955,0.2529816632542788
2018-05-08,0.3399474115628587,0.2742629654532577,0.2896844958896323,0.3580983317407334,0.2446997756432442
2018-05-09,0.31973470293057593,0.2584973452101067,0.2804132006888416,0.3409594188145651,0.23322065250252413
2018-05-10,0.302317108185013,0.248484805009783,0.29581273616001136,0.36360111524280797,0.22860957165972032
2018-05-11,0.2927080293750555,0.2337312240449349,0.2919298141888262,0.3623234623909384,0.22235050555139366
2018-05-14,0.2782916931270109,0.22420231271077187,0.28255541067494666,0.3465089981823747,0.21236197634376075
2018-05-15,0.26466803697917884,0.21420454326516922,0.27414453004580464,0.3313992226698001,0.20312767210571214
2018-05-16,0.2580542987695317,0.23601854259913374,0.2808539774355345,0.3357453904691654,0.20035659300333158
2018-05-17,0.2487792806451801,0.22665963431167527,0.27261326665948593,0.3276036520246568,0.192456626173673
2018-05-18,0.24121716984064442,0.2181064748077867,0.2657035126907776,0.31956502385263225,0.19570668342234754
2018-05-21,0.23242140276006304,0.2125759788767624,0.26397730655270946,0.3171147719528593,0.1883062761401855
2018-05-22,0.22453792677983941,0.20776010231395847,0.2630026510458267,0.320916535291838,0.19281225230556093
2018-05-23,0.21704417920460892,0.20203032313679908,0.2596804548423189,0.3159591012494797,0.18618680485003222
2018-05-24,0.21061608724551792,0.2103753323646313,0.25672613660224575,0.33650295709574046,0.18936979891257846
2018-05-25,0.2041529470596093,0.2024942393135467,0.2514263560498912,0.3271485484613028,0.18470445023434226
