ticker,frequency,period_days,power
AAPL,0.0005685048322910744,1759.0,1.6813907689877163
AAPL,0.0011370096645821489,879.5,0.3028264143919553
AAPL,0.0017055144968732233,586.3333333333334,1.4761826307314267
AAPL,0.0022740193291642978,439.75,1.604074744375096
AAPL,0.0028425241614553724,351.8,0.323706913362619
AAPL,0.0034110289937464467,293.1666666666667,0.30519644431170234
AAPL,0.003979533826037521,251.2857142857143,0.30172853595687327
AAPL,0.0045480386583285955,219.875,0.1128439547932333
AAPL,0.00511654349061967,195.44444444444446,0.13561137803739595
AAPL,0.005685048322910745,175.9,1.2340350021866149
AAPL,0.006253553155201819,159.90909090909093,0.7859358860915177
AAPL,0.006822057987492893,146.58333333333334,0.8515106478819285
AAPL,0.007390562819783968,135.30769230769232,0.700659217369855
AAPL,0.007959067652075042,125.64285714285715,0.3832101088705541
AAPL,0.008527572484366117,117.26666666666667,0.3406557046744236
AAPL,0.009096077316657191,109.9375,1.2739348522890732
AAPL,0.009664582148948265,103.47058823529413,0.41509720115112847
AAPL,0.01023308698123934,97.72222222222223,0.38702250466533694
AAPL,0.010801591813530414,92.57894736842105,0.1161987150740257
AAPL,0.01137009664582149,87.95,0.08487682549269052
AAPL,0.011938601478112564,83.76190476190476,0.04008048722081428
AAPL,0.012507106310403637,79.95454545454547,0.23758571303592455
AAPL,0.013075611142694713,76.47826086956522,0.2741462731741584
AAPL,0.013644115974985787,73.29166666666667,0.20235729607357644
AAPL,0.01421262080727686,70.36000000000001,0.15457736754506002
AAPL,0.014781125639567936,67.65384615384616,0.3107121529474698
AAPL,0.01534963047185901,65.14814814814815,0.07745318400625999
AAPL,0.015918135304150084,62.82142857142858,0.03388780368976004
AAPL,0.016486640136441157,60.65517241379311,0.21383361930063677
AAPL,0.017055144968732235,58.63333333333333,0.03002858928006922
AAPL,0.01762364980102331,56.74193548387097,0.06174642775222522
AAPL,0.018192154633314382,54.96875,0.045463400030996116
AAPL,0.018760659465605456,53.303030303030305,0.20293687498451884
AAPL,0.01932916429789653,51.735294117647065,0.07760931000472908
AAPL,0.019897669130187607,50.25714285714285,0.11285919565811733
AAPL,0.02046617396247868,48.861111111111114,0.1967527675708612
AAPL,0.021034678794769755,47.54054054054054,0.0588192119201669
AAPL,0.02160318362706083,46.28947368421053,0.009970523736073697
AAPL,0.022171688459351902,45.10256410256411,0.015290280181557953
AAPL,0.02274019329164298,43.975,0.029394698310673678
AAPL,0.023308698123934053,42.90243902439025,0.03704681306902722
AAPL,0.023877202956225127,41.88095238095238,0.12599472934043587
AAPL,0.0244457077885162,40.906976744186046,0.06111496505284027
AAPL,0.025014212620807275,39.977272727272734,0.02330069524058927
AAPL,0.02558271745309835,39.088888888888896,0.030063495213984333
AAPL,0.026151222285389426,38.23913043478261,0.049968107208339795
AAPL,0.0267197271176805,37.42553191489362,0.01702512123079199
AAPL,0.027288231949971573,36.645833333333336,0.027677712459429387
AAPL,0.027856736782262647,35.89795918367347,0.04583898876257278
AAPL,0.02842524161455372,35.18000000000001,0.011257282646527872
AAPL,0.028993746446844798,34.490196078431374,0.042811939131556155
AAPL,0.029562251279135872,33.82692307692308,0.10734773027637542
AAPL,0.030130756111426946,33.18867924528302,0.06650892599634378
AAPL,0.03069926094371802,32.574074074074076,0.05098840250849975
AAPL,0.03126776577600909,31.981818181818184,0.020151093574176437
AAPL,0.03183627060830017,31.41071428571429,0.323097304971149
AAPL,0.03240477544059124,30.85964912280702,0.07564660546838041
AAPL,0.032973280272882315,30.327586206896555,0.057742494455492864
AAPL,0.033541785105173395,29.813559322033896,0.03198401923218052
AAPL,0.03411028993746447,29.316666666666666,0.011926323859570707
AAPL,0.03467879476975554,28.83606557377049,0.004600590025671885
AAPL,0.03524729960204662,28.370967741935484,0.010247939357076715
AAPL,0.03581580443433769,27.92063492063492,0.014592773732707584
AAPL,0.036384309266628764,27.484375,0.02972265121946096
AAPL,0.03695281409891984,27.061538461538465,0.025075340934003945
AAPL,0.03752131893121091,26.651515151515152,0.0006045710634381163
AAPL,0.038089823763501986,26.253731343283587,0.019555362722421785
AAPL,0.03865832859579306,25.867647058823533,0.0012145778785506926
AAPL,0.03922683342808413,25.49275362318841,4.847581909414471e-05
AAPL,0.039795338260375214,25.128571428571426,0.06521026965325066
AAPL,0.04036384309266629,24.774647887323944,0.06657218223878321
AAPL,0.04093234792495736,24.430555555555557,0.014261708777303417
AAPL,0.041500852757248435,24.095890410958905,0.012064727302094328
AAPL,0.04206935758953951,23.77027027027027,0.06307810433886189
AAPL,0.04263786242183058,23.453333333333333,0.005869712550092915
AAPL,0.04320636725412166,23.144736842105264,0.0026837482212417967
AAPL,0.04377487208641273,22.844155844155846,0.002204347038253996
AAPL,0.044343376918703804,22.551282051282055,0.006382017045798927
AAPL,0.04491188175099488,22.26582278481013,5.124062030811066e-05
AAPL,0.04548038658328596,21.9875,0.004049711640576229
AAPL,0.04604889141557703,21.71604938271605,0.002349276181746986
AAPL,0.046617396247868106,21.451219512195124,0.019731499975433435
AAPL,0.04718590108015918,21.19277108433735,0.014904434490226232
AAPL,0.047754405912450254,20.94047619047619,0.10952371496801559
AAPL,0.04832291074474133,20.694117647058825,0.005146772447260318
AAPL,0.0488914155770324,20.453488372093023,0.004712841585831537
AAPL,0.049459920409323475,20.218390804597703,0.02115437388829512
AAPL,0.05002842524161455,19.988636363636367,0.005710080769548033
AAPL,0.05059693007390562,19.764044943820227,0.015114038283348764
AAPL,0.0511654349061967,19.544444444444448,0.0013273177332434845
AAPL,0.05173393973848778,19.32967032967033,0.02424006562989934
AAPL,0.05230244457077885,19.119565217391305,0.005613547705341724
AAPL,0.052870949403069925,18.913978494623656,0.006423420552118455
AAPL,0.053439454235361,18.71276595744681,0.004762288873255919
AAPL,0.05400795906765207,18.51578947368421,0.0038232165907584417
AAPL,0.054576463899943146,18.322916666666668,0.007106112454760551
AAPL,0.05514496873223422,18.1340206185567,0.0003698282298884533
AAPL,0.055713473564525294,17.948979591836736,0.0171556232474023
AAPL,0.05628197839681637,17.767676767676768,0.019604257555360736
AAPL,0.05685048322910744,17.590000000000003,0.007899638948125252
AAPL,0.057418988061398515,17.415841584158418,0.0013823487494815914
AAPL,0.057987492893689596,17.245098039215687,0.005704770288577619
AAPL,0.05855599772598067,17.07766990291262,0.008229996827535429
AAPL,0.059124502558271744,16.91346153846154,0.0012984317148908892
AAPL,0.05969300739056282,16.752380952380953,0.0003045828200759269
AAPL,0.06026151222285389,16.59433962264151,0.0013928549926210255
AAPL,0.060830017055144965,16.4392523364486,0.0005709244723707041
AAPL,0.06139852188743604,16.287037037037038,0.013258951819712815
AAPL,0.06196702671972711,16.137614678899084,0.008522423906836487
AAPL,0.06253553155201819,15.990909090909092,0.0014925105843493387
AAPL,0.06310403638430927,15.846846846846846,0.012977836654198549
AAPL,0.06367254121660033,15.705357142857144,0.038559717176995814
AAPL,0.06424104604889141,15.56637168141593,0.006658302182212859
AAPL,0.06480955088118248,15.42982456140351,0.006496082556086578
AAPL,0.06537805571347356,15.295652173913044,0.004598529613267883
AAPL,0.06594656054576463,15.163793103448278,0.007216376847368448
AAPL,0.06651506537805571,15.034188034188036,0.011381669506457045
AAPL,0.06708357021034679,14.906779661016948,0.028392217557666778
AAPL,0.06765207504263786,14.781512605042018,0.00018024325525986033
AAPL,0.06822057987492894,14.658333333333333,0.01477367139310741
AAPL,0.06878908470722,14.53719008264463,0.0003114149493054751
AAPL,0.06935758953951109,14.418032786885245,0.005379494865686691
AAPL,0.06992609437180215,14.300813008130083,0.004759612184079408
AAPL,0.07049459920409323,14.185483870967742,0.01502718858722214
AAPL,0.0710631040363843,14.072000000000001,0.007159265626712731
AAPL,0.07163160886867538,13.96031746031746,0.00020085551714602089
AAPL,0.07220011370096645,13.850393700787404,0.0067528864556174505
AAPL,0.07276861853325753,13.7421875,0.012904063388899942
AAPL,0.07333712336554861,13.635658914728682,0.011121441514653309
AAPL,0.07390562819783968,13.530769230769232,0.024139742504296312
AAPL,0.07447413303013076,13.427480916030534,0.0001149194329705189
AAPL,0.07504263786242182,13.325757575757576,0.014869209933753832
AAPL,0.0756111426947129,13.225563909774436,0.0027971292268552965
AAPL,0.07617964752700397,13.126865671641793,0.019012499788914276
AAPL,0.07674815235929505,13.02962962962963,0.0002881375204700694
AAPL,0.07731665719158612,12.933823529411766,0.002025006111358953
AAPL,0.0778851620238772,12.83941605839416,0.0018608388996079151
AAPL,0.07845366685616827,12.746376811594205,0.0020265521818290354
AAPL,0.07902217168845935,12.654676258992806,0.002677773154946001
AAPL,0.07959067652075043,12.564285714285713,0.014161913088296249
AAPL,0.0801591813530415,12.47517730496454,0.0036732538460368573
AAPL,0.08072768618533258,12.387323943661972,0.007217388367071191
AAPL,0.08129619101762364,12.300699300699302,0.008184449789029958
AAPL,0.08186469584991472,12.215277777777779,0.012492020292213933
AAPL,0.08243320068220579,12.131034482758622,0.003951821679249916
AAPL,0.08300170551449687,12.047945205479452,0.002301043903255565
AAPL,0.08357021034678794,11.965986394557824,0.010026412301017664
AAPL,0.08413871517907902,11.885135135135135,0.0010355510221947558
AAPL,0.08470722001137009,11.80536912751678,0.009877384285956026
AAPL,0.08527572484366117,11.726666666666667,0.0007121620588370502
AAPL,0.08584422967595225,11.649006622516556,0.0005841467727966177
AAPL,0.08641273450824331,11.572368421052632,0.0008788195480320258
AAPL,0.0869812393405344,11.49673202614379,0.0008116102259481371
AAPL,0.08754974417282546,11.422077922077923,0.0035838310440520957
AAPL,0.08811824900511654,11.348387096774193,0.0025081199117094085
AAPL,0.08868675383740761,11.275641025641027,0.011259631225986062
AAPL,0.08925525866969869,11.203821656050955,0.0045583010442992525
AAPL,0.08982376350198976,11.132911392405065,0.0008248759036010596
AAPL,0.09039226833428084,11.062893081761008,0.0044234352881286085
AAPL,0.09096077316657192,10.99375,0.004690913213543804
AAPL,0.09152927799886298,10.925465838509318,0.00851279646286996
AAPL,0.09209778283115407,10.858024691358025,0.004864274315258512
AAPL,0.09266628766344513,10.791411042944786,0.003028052447259429
AAPL,0.09323479249573621,10.725609756097562,0.00540426814523763
AAPL,0.09380329732802728,10.660606060606062,0.0041146596244596495
AAPL,0.09437180216031836,10.596385542168674,0.0020184321263029387
AAPL,0.09494030699260943,10.532934131736528,0.006965694185241779
AAPL,0.09550881182490051,10.470238095238095,0.009809152303075927
AAPL,0.09607731665719157,10.40828402366864,0.00011750258937862429
AAPL,0.09664582148948266,10.347058823529412,0.010823925439172278
AAPL,0.09721432632177374,10.286549707602338,0.002318706999485737
