Date,AAPL,AMZN,GOOGL,META,MSFT
2018-01-02,40.30418395996094,59.45050048828125,53.22063064575195,180.00741577148438,78.87035369873047
2018-01-03,40.297157287597656,60.209999084472656,54.12862777709961,183.2321014404297,79.2374267578125
2018-01-04,40.48432922363281,60.47949981689453,54.338890075683594,182.8947296142578,79.934814453125
2018-01-05,40.94525909423828,61.457000732421875,55.0594367980957,185.3950958251953,80.92587280273438
2018-01-08,40.79317855834961,62.34349822998047,55.25382614135742,186.81398010253906,81.00846099853516
2018-01-09,40.78850555419922,62.6349983215332,55.18341064453125,186.40716552734375,80.95339965820312
2018-01-10,40.779144287109375,62.71649932861328,55.05199432373047,186.37741088867188,80.5863265991211
2018-01-11,41.01076889038086,63.83399963378906,55.14671325683594,186.3079376220703,80.82491302490234
2018-01-12,41.43425750732422,65.26000213623047,56.069095611572266,177.9733123779297,82.21969604492188
2018-01-16,41.22369384765625,65.24299621582031,56.071571350097656,177.00099182128906,81.07266998291016
2018-01-17,41.90455627441406,64.75,56.488128662109375,176.21713256835938,82.7152328491211
2018-01-18,41.94198226928711,64.66600036621094,56.33291244506836,178.40000915527344,82.67850494384766
2018-01-19,41.75481414794922,64.72899627685547,56.706329345703125,179.87840270996094,82.58676147460938
2018-01-22,41.41320037841797,66.3655014038086,57.730857849121094,183.92662048339844,84.06414794921875
2018-01-23,41.422569274902344,68.12699890136719,58.32643508911133,187.8756561279297,84.33026123046875
2018-01-24,40.762760162353516,67.87550354003906,58.08442687988281,185.09747314453125,84.25685119628906
2018-01-25,40.03510665893555,68.89749908447266,58.62248611450195,186.0202178955078,84.7248306274414
2018-01-26,40.128684997558594,70.10250091552734,58.89126205444336,188.5205841064453,86.31233978271484
2018-01-29,39.298091888427734,70.88400268554688,58.83770751953125,184.53189086914062,86.18387603759766
2018-01-30,39.06645584106445,71.89099884033203,58.38594055175781,185.6630401611328,85.10107421875
2018-01-31,39.17409133911133,72.54450225830078,58.62644958496094,185.434814453125,87.18409729003906
2018-02-01,39.25597381591797,69.5,58.59520721435547,191.58653259277344,86.4958724975586
2018-02-02,37.55265426635742,71.49749755859375,55.50128173828125,188.79840087890625,84.22012329101562
